Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18
58,12618.490234375,79284.31243941409,33208316.0,96300.40625,33208455.629916005,0.16615089356228968,1.2146211941181797,-1.3097385681544831e-10,33208316.0,-1.2146211941181797,1.3097385681544831e-10,33208316.0,0.002899888276478699,-344.84087132290784,96300.40625,3.011293918065583e-08,1.0384172185151088e-05
59,14849.58984375,93302.7247238932,33184906.0,174857.796875,33185366.67686473,0.3018999377927534,1.8740910020843364,-6.129438207485922e-11,33184906.0,-1.8740910020843362,6.129438207485922e-11,33184906.000000004,0.005269196690658096,-189.7822493081208,174857.796875,3.013418208868815e-08,5.718932857851724e-06
60,17475.103515625,109799.31365081733,33194610.0,243843.453125,33195505.6096715,0.4208800594438908,2.2208103586190755,-3.734988549990421e-11,33194610.0,-2.2208103586190755,3.734988549990421e-11,33194610.0,0.007345874921410434,-136.13082317606307,243843.453125,3.0125372763831236e-08,4.100991792826097e-06
61,20565.0,129213.70584214819,33225390.0,321375.0,33226944.225172512,0.5541803099352719,2.4871587569247686,-2.408126673392573e-11,33225390.0,-2.487158756924768,2.4081266733925734e-11,33225389.999999996,0.009672572692148987,-103.38511085180863,321375.0,3.0097464619677906e-08,3.1116297160637886e-06
62,24201.1171875,152060.10392983136,33223172.0,419201.75,33225816.586636167,0.7229055828439285,2.75681614812944,-1.5687785047236324e-11,33223172.0,-2.75681614812944,1.5687785047236324e-11,33223172.000000004,0.012617752152022089,-79.25341914722446,419201.75,3.009947394547396e-08,2.3854862247116096e-06
63,28480.1953125,178946.34473310492,33179638.0,507147.71875,33183513.62679482,0.8756925350191055,2.8340769938966965,-1.1019012914391248e-11,33179638.0,-2.834076993896697,1.1019012914391248e-11,33179638.0,0.015284908134018822,-65.42401113778055,507147.71875,3.0138966555331316e-08,1.9718120835971915e-06
64,33515.73828125,210585.5943280264,33157032.0,606972.8125,33162587.15848536,1.0487397217443108,2.8823092787369227,-7.823518297146108e-12,33157032.0,-2.8823092787369227,7.823518297146106e-12,33157032.0,0.018306005570703675,-54.626881661194666,606972.8125,3.0159514880584006e-08,1.647520250340702e-06
65,39441.74609375,247819.79954575785,33147532.0,717787.375,33155302.689113446,1.2405074630269275,2.8964085045491554,-5.621706697050339e-12,33147532.0,-2.8964085045491554,5.621706697050338e-12,33147532.0,0.02165432331432699,-46.1801546732415,717787.375,3.016815852232981e-08,1.3931702267680592e-06
66,46415.48828125,291637.11399431626,33127660.0,842260.9375,33138365.38760532,1.4564144512051593,2.8880444123322895,-4.071088549625727e-12,33127660.0,-2.8880444123322895,4.071088549625727e-12,33127660.0,0.02542470363134613,-39.33182523972863,842260.9375,3.018625523203269e-08,1.1872805154281538e-06
67,54622.3046875,343202.0622567866,33139928.0,968014.1875,33154062.78742298,1.673128603815449,2.8205372110372804,-3.01001312068957e-12,33139928.0,-2.8205372110372804,3.0100131206895697e-12,33139928.0,0.029209906174207743,-34.234961044927864,968014.1875,3.0175080645920534e-08,1.0330427104406463e-06
68,64280.234375,403884.6241670602,33164808.0,1107241.75,33183286.063465852,1.912169193235132,2.7414803232073717,-2.236146367443463e-12,33164808.0,-2.7414803232073717,2.236146367443463e-12,33164807.999999996,0.03338604432746904,-29.95263500495714,1107241.75,3.0152443517839756e-08,9.031451351974399e-07
69,75645.6328125,475295.528639802,33139546.0,1256738.0,33163366.82978313,2.1717646752064197,2.6441191306733423,-1.6741390409839117e-12,33139546.0,-2.6441191306733427,1.6741390409839117e-12,33139545.999999996,0.03792260763017091,-26.369494675899034,1256738.0,3.0175428474487854e-08,7.957108005009795e-07
70,89020.703125,559333.5739097958,33096116.0,1421124.375,33126612.998836376,2.458730840520724,2.540745703974469,-1.2580474533562563e-12,33096116.0,-2.540745703974469,1.2580474533562563e-12,33096116.000000004,0.04293930970631116,-23.288683652336903,1421124.375,3.021502583565999e-08,7.03668178233872e-07
71,104760.640625,658230.5179457208,33077974.0,1598969.625,33116598.071153816,2.767489711037021,2.4291940002876844,-9.501272465315803e-13,33077974.0,-2.4291940002876844,9.501272465315803e-13,33077974.000000004,0.048339406307048916,-20.6870558907584,1598969.625,3.023159761840311e-08,6.254027495988237e-07
72,123283.59375,774613.664866297,33068944.0,1786560.25,33117168.580692645,3.0924164579804603,2.306388760012865,-7.225987051463532e-13,33068944.0,-2.306388760012865,7.225987051463531e-13,33068944.0,0.05402531904254336,-18.509839788498596,1786560.25,3.023985283594178e-08,5.597348312210573e-07
73,145081.546875,911574.2436678864,33048792.0,1993111.5,33108837.88523385,3.4512223906820836,2.1864499944407707,-5.50397381687933e-13,33048792.0,-2.1864499944407707,5.503973816879331e-13,33048792.0,0.06030814984099873,-16.58150685498528,1993111.5,3.025829204286801e-08,5.017280769289626e-07
74,170733.671875,1072751.2985658206,33055514.0,2211260.75,33129392.990344487,3.8271202361076546,2.0612986001100833,-4.215615511506247e-13,33055514.0,-2.0612986001100833,4.215615511506247e-13,33055514.0,0.06689536729031048,-14.948718282093145,2211260.75,3.025213887159643e-08,4.5223070142225426e-07
75,200921.4375,1262426.6239974014,33064392.0,2445158.75,33154680.207210045,4.229405542251739,1.936871976176758,-3.2395657170643944e-13,33064392.0,-1.936871976176758,3.2395657170643944e-13,33064392.0,0.07395142030738082,-13.522390724119651,2445158.75,3.024401597948633e-08,4.0897140114113246e-07
76,236446.75,1485638.7455303648,33025364.0,2702829.0,33135780.53910511,4.678716866873277,1.8193043282774004,-2.490394867669171e-13,33025364.0,-1.8193043282774002,2.490394867669171e-13,33025364.0,0.08184100559800038,-12.21881369483604,2702829.0,3.027975709821094e-08,3.699827107079286e-07
77,278253.21875,1748316.5357254273,32976500.0,2977665.0,33110663.555752322,5.159620064165168,1.7031612635091165,-1.9208970900377514e-13,32976500.0,-1.7031612635091162,1.9208970900377514e-13,32976500.000000004,0.09029657483359362,-11.074617191658565,2977665.0,3.032462511182205e-08,3.3583361459398555e-07
78,327451.75,2057440.0244102431,32955908.0,3269160.5,33117658.167195704,5.665093863740082,1.5889457098206747,-1.486745295729621e-13,32955908.0,-1.5889457098206747,1.486745295729621e-13,32955908.000000004,0.09919801026268188,-10.080847361272108,3269160.5,3.034357299455988e-08,3.0588892775377655e-07
79,385349.03125,2421219.3712858874,32928002.0,3591404.5,33123277.343804978,6.224554564582285,1.4833040502615167,-1.1500097903378904e-13,32928002.0,-1.4833040502615167,1.1500097903378904e-13,32928002.0,0.10906840020235664,-9.168558428882072,3591404.5,3.03692887287847e-08,2.7844259815345225e-07
80,453483.3125,2849319.6861511287,32884090.0,3940918.5,33119393.317990325,6.833889191746391,1.3831085782176331,-8.90556274348352e-14,32884090.0,-1.383108578217633,8.905562743483521e-14,32884090.0,0.11984271117126853,-8.344270504452199,3940918.5,3.040984257128599e-08,2.537479524126165e-07
81,533664.625,3353113.730761504,32869448.0,4322766.5,33152479.87765359,7.492155032591692,1.2891798033400688,-6.899060267163716e-14,32869448.0,-1.289179803340069,6.899060267163716e-14,32869447.999999996,0.1315132064280483,-7.603799094862052,4322766.5,3.042338891727053e-08,2.3133333711177783e-07
82,628022.75,3945983.3153745183,32844682.0,4745623.5,33185751.130340207,8.221587286688454,1.202646620808022,-5.340125645042488e-14,32844682.0,-1.202646620808022,5.340125645042488e-14,32844682.000000004,0.1444868152475947,-6.921046728633235,4745623.5,3.044632918047433e-08,2.1072046697341245e-07
83,739064.6875,4643680.385555272,32784250.0,5178010.0,33190643.796446614,8.975268682340886,1.115065975709014,-4.1588647277229703e-14,32784250.0,-1.115065975709014,4.1588647277229703e-14,32784250.0,0.1579419995882169,-6.33143813936242,5178010.0,3.0502451634550126e-08,1.9312438562304824e-07
84,869740.0625,5464737.981765455,32725942.0,5604869.5,33202437.28853944,9.718577736445777,1.0256428613232933,-3.264864420728379e-14,32725942.0,-1.0256428613232933,3.264864420728379e-14,32725942.0,0.1712668652899281,-5.8388410292157555,5604869.5,3.055679802891541e-08,1.7841628605269043e-07
85,1023520.25,6430967.396400777,32676004.0,6161796.0,33251901.710332777,10.67900687601075,0.9581444936960147,-2.5235759290019084e-14,32676004.0,-0.9581444936960147,2.523575929001908e-14,32676004.0,0.18857250721355034,-5.302999969489415,6161796.0,3.060349729422239e-08,1.6229034521753073e-07
86,1204490.75,7568038.58303372,32631098.0,6655646.0,33302945.52082323,11.5282794786381,0.8794413409731879,-1.9853013953512224e-14,32631098.0,-0.8794413409731879,1.9853013953512224e-14,32631097.999999996,0.203966351362127,-4.902769468207895,6655646.0,3.064561296711499e-08,1.502483755896873e-07
87,1417458.875,8906156.776931306,32584384.0,7125152.0,33354308.142765608,12.334586583283862,0.800025440654216,-1.5758523751607215e-14,32584384.0,-0.8000254406542159,1.5758523751607215e-14,32584384.0,0.21866769063364833,-4.573149316674226,7125152.0,3.068954748384993e-08,1.4034788310480956e-07
88,1668082.375,10480870.669765228,32548912.0,7715727.5,33450921.111951467,13.335822734830952,0.736172379481602,-1.2365900763666774e-14,32548912.0,-0.736172379481602,1.2365900763666775e-14,32548912.0,0.23705024303116493,-4.218514974770687,7715727.5,3.0722993137220685e-08,1.2960540661914254e-07
89,1963019.0,12334012.138514364,32405324.0,8772703.0,33571793.83755335,15.147908868125088,0.7112610966715551,-9.241919937928604e-15,32405324.0,-0.7112610966715552,9.241919937928604e-15,32405324.0,0.27071795363008866,-3.6938813499100567,8772703.0,3.085912672868199e-08,1.1398995269758932e-07
